title,release_date,popularity,vote_count,vote_average,genres,actor,director,id
언더워터,2020-01-08,44.045,2571,6.3,"[{'id': 28, 'name': '액션'}, {'id': 27, 'name': '공포'}, {'id': 878, 'name': 'SF'}]","[37917, 1925, 1639848]",[125324],443791
간츠: 오,2016-10-14,38.862,578,7.3,"[{'id': 878, 'name': 'SF'}, {'id': 28, 'name': '액션'}, {'id': 16, 'name': '애니메이션'}]","[149894, 1241498, 221773]",[86978],396263
플레저,2021-10-08,44.024,299,6.3,"[{'id': 18, 'name': '드라마'}]","[2280178, 1908347, 139422]",[1202063],592695
듀 데이트,2010-11-04,61.621,4776,6.3,"[{'id': 35, 'name': '코미디'}, {'id': 18, 'name': '드라마'}]","[3223, 58225, 11705]",[57130],41733
바비 프린세스와 팝스타,2012-09-13,38.355,496,7.1,"[{'id': 10751, 'name': '가족'}, {'id': 16, 'name': '애니메이션'}]","[74358, 582116, 94481]",[176153],129533
제5침공,2016-01-14,30.956,5236,5.9,"[{'id': 878, 'name': 'SF'}, {'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}]","[56734, 1108907, 17402]",[111588],299687
세인트 세이야 - 진홍의 소년전설,1988-07-23,39.847,153,7.6,"[{'id': 28, 'name': '액션'}, {'id': 16, 'name': '애니메이션'}, {'id': 14, 'name': '판타지'}]","[40327, 100124, 226637]",[81853],66105
뉴 뮤턴트,2020-08-26,42.818,2850,6.2,"[{'id': 27, 'name': '공포'}, {'id': 878, 'name': 'SF'}, {'id': 9648, 'name': '미스테리'}, {'id': 28, 'name': '액션'}]","[1827498, 1181313, 1397778]",[1053420],340102
개구쟁이 스머프 2,2013-07-30,38.047,1895,5.8,"[{'id': 14, 'name': '판타지'}, {'id': 10751, 'name': '가족'}, {'id': 35, 'name': '코미디'}, {'id': 16, 'name': '애니메이션'}]","[5587, 41686, 2039]",[1215],77931
레드 닷,2021-02-11,43.949,616,5.9,"[{'id': 53, 'name': '스릴러'}, {'id': 27, 'name': '공포'}]","[116614, 1309110, 90605]",[1394236],649087
알로하! 오하나를 찾아서,2021-01-29,43.942,329,6.5,"[{'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[2921202, 2921201, 2921199]",[1711826],644092
블러드 레이크,2005-11-03,37.091,201,5.5,"[{'id': 27, 'name': '공포'}, {'id': 9648, 'name': '미스테리'}]","[70785, 237081, 31402]",[17089],42968
와일드,2006-03-06,42.789,890,5.5,"[{'id': 10751, 'name': '가족'}, {'id': 16, 'name': '애니메이션'}]","[2628, 26485, 1926]",[60207],9904
프리키 프라이데이,2003-08-05,41.087,3192,6.4,"[{'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}, {'id': 10749, 'name': '로맨스'}, {'id': 14, 'name': '판타지'}]","[49265, 8944, 14833]",[54050],10330
메리 포핀스,1964-12-17,34.787,4093,7.6,"[{'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}, {'id': 14, 'name': '판타지'}]","[5823, 61303, 5825]",[5834],433
백사대전,2011-09-27,33.089,203,6.3,"[{'id': 28, 'name': '액션'}, {'id': 14, 'name': '판타지'}]","[1336, 83635, 89409]",[67259],75948
고스트 쉽,2002-10-25,34.586,2005,5.9,"[{'id': 27, 'name': '공포'}, {'id': 9648, 'name': '미스테리'}, {'id': 53, 'name': '스릴러'}]","[5168, 25654, 6365]",[57521],9645
Operación Feliz Navidad: La estafa de los duendes,2021-12-11,43.887,34,6.9,"[{'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[1869530, 1018057, 1096783]",[2236984],914241
피치 퍼펙트: 언프리티 걸즈,2015-05-07,39.672,4899,6.9,"[{'id': 35, 'name': '코미디'}, {'id': 10402, 'name': '음악'}]","[84223, 29221, 221581]",[9281],254470
캐스트 어웨이,2000-12-22,39.882,9807,7.7,"[{'id': 12, 'name': '모험'}, {'id': 18, 'name': '드라마'}]","[31, 9994, 38026]",[24],8358
악질경찰,2009-09-11,36.582,920,6.1,"[{'id': 18, 'name': '드라마'}, {'id': 80, 'name': '범죄'}]","[2963, 8170, 5576]",[6818],11699
宝葫芦的秘密,2007-06-29,29.46,96,7.4,"[{'id': 18, 'name': '드라마'}, {'id': 10751, 'name': '가족'}, {'id': 14, 'name': '판타지'}]","[1085260, 940339, 65938]",[17359],38057
세인트 세이야 - 사신 에리스,1987-07-18,40.827,167,7.1,"[{'id': 28, 'name': '액션'}, {'id': 16, 'name': '애니메이션'}, {'id': 14, 'name': '판타지'}]","[40327, 100124, 226637]",[1060543],83090
La Brigade,2022-01-20,43.83,61,6.6,"[{'id': 35, 'name': '코미디'}]","[130664, 33161, 17901]",[1402420],845140
신부들의 전쟁,2009-01-09,35.01,2692,6.2,"[{'id': 35, 'name': '코미디'}, {'id': 10749, 'name': '로맨스'}]","[11661, 1813, 23821]",[17046],10521
全职高手之巅峰荣耀,2019-08-16,43.713,22,7,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[1674221, 2156485, 141846]",[2784817],613200
제리 & 마지 고 라지,2022-10-20,43.7,19,7.4,"[{'id': 35, 'name': '코미디'}, {'id': 18, 'name': '드라마'}]","[17419, 516, 11678]",[5065],843847
스푸트닉,2020-09-08,43.693,546,6.5,"[{'id': 878, 'name': 'SF'}, {'id': 18, 'name': '드라마'}, {'id': 27, 'name': '공포'}]","[77667, 80997, 80999]",[1849086],594718
더블 반담,1991-07-31,34.298,830,6,"[{'id': 53, 'name': '스릴러'}, {'id': 28, 'name': '액션'}, {'id': 80, 'name': '범죄'}, {'id': 18, 'name': '드라마'}]","[15111, 18071, 106836]",[16590],9594
파라노말 액티비티 4,2012-10-17,31.051,1636,5.4,"[{'id': 27, 'name': '공포'}]","[90596, 221192, 455033]",[142272],82990
텍사스 전기톱 학살,1974-10-01,40.739,2583,7.3,"[{'id': 27, 'name': '공포'}]","[27798, 122454, 122455]",[10051],30497
맨 인 블랙,1997-07-02,42.49,12047,7.2,"[{'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 35, 'name': '코미디'}, {'id': 878, 'name': 'SF'}]","[2176, 2888, 9625]",[5174],607
링,2002-10-18,37.937,5280,6.6,"[{'id': 27, 'name': '공포'}, {'id': 9648, 'name': '미스테리'}]","[3489, 26291, 26292]",[1704],565
내니 맥피: 우리 유모는 마법사,2005-10-21,28.034,2622,6.6,"[{'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[7056, 5472, 9015]",[64045],11283
와이 힘?,2016-12-22,37.284,3686,6.4,"[{'id': 35, 'name': '코미디'}]","[17419, 17051, 1059597]",[17871],356305
Cuidado con lo que deseas,2021-11-12,43.501,18,4.9,"[{'id': 10751, 'name': '가족'}, {'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}]","[1271600, 105217, 25911]",[37561],893164
플랜 A,2021-08-16,43.501,62,6,"[{'id': 53, 'name': '스릴러'}, {'id': 18, 'name': '드라마'}]","[6091, 104632, 1011137]",[507840],714968
또다시 망할 놈의 사랑,2022-05-20,43.492,91,5.8,"[{'id': 35, 'name': '코미디'}, {'id': 10749, 'name': '로맨스'}]","[109880, 150640, 1171667]",[1336104],970308
El refugio,2021-11-26,43.481,76,6.5,"[{'id': 35, 'name': '코미디'}]","[6536, 25025, 1490500]",[2002122],860720
레드 던,2012-03-15,39.275,1365,5.7,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}]","[74568, 15760, 27972]",[8684],60747
Eva,2021-12-24,43.459,6,4.8,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[3194176, 3295424, 3126662]",[1215113],893694
인 디 에어,2009-09-05,30.963,3115,6.8,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[1461, 21657, 84223]",[52443],22947
아이 러브 베스 쿠퍼,2009-07-10,35.509,736,5.9,"[{'id': 35, 'name': '코미디'}, {'id': 10749, 'name': '로맨스'}]","[17265, 85236, 66536]",[10965],19840
Visitante,2021-02-11,43.365,8,5.9,"[{'id': 27, 'name': '공포'}]","[2264694, 1179659, 440879]",[1267068],871832
듀스 비갈로,1999-12-10,37.001,1141,5.9,"[{'id': 35, 'name': '코미디'}]","[60949, 4520, 62842]",[64151],10402
어카운턴트,2016-10-13,33.447,5263,7,"[{'id': 80, 'name': '범죄'}, {'id': 53, 'name': '스릴러'}, {'id': 18, 'name': '드라마'}]","[880, 84223, 18999]",[77003],302946
고질라: 행성포식자,2018-11-09,43.252,236,6.4,"[{'id': 16, 'name': '애니메이션'}, {'id': 878, 'name': 'SF'}, {'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}]","[93803, 9705, 119143]",[237072],536115
앨리스,2022-03-18,43.247,23,5.5,"[{'id': 53, 'name': '스릴러'}, {'id': 18, 'name': '드라마'}]","[74688, 4238, 9012]",[2675076],714676
제인 도,2016-12-21,45.99,3469,6.7,"[{'id': 27, 'name': '공포'}, {'id': 9648, 'name': '미스테리'}]","[46593, 1248, 82639]",[135113],397243
크라임스 오브 더 퓨처,2022-05-25,43.216,550,6.3,"[{'id': 18, 'name': '드라마'}, {'id': 27, 'name': '공포'}, {'id': 878, 'name': 'SF'}]","[110, 121529, 100]",[224],819876
싱크홀,2021-08-11,43.208,91,7.2,"[{'id': 35, 'name': '코미디'}, {'id': 18, 'name': '드라마'}]","[1248450, 1024396, 1326172]",[583166],623135
바후발리 2: 더 컨클루전,2017-04-27,32.989,563,7.4,"[{'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[237045, 215910, 581895]",[147021],350312
풀 메탈 자켓,1987-06-26,38.731,8921,8.1,"[{'id': 18, 'name': '드라마'}, {'id': 10752, 'name': '전쟁'}]","[8654, 2059, 7132]",[240],600
선배부부와 교환섹스,2019-12-23,43.204,0,0,"[{'id': 10749, 'name': '로맨스'}]","[1907997, 1907998, 2489159]",[2499096],657654
어바웃 타임,2013-09-04,36.933,7214,7.9,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}, {'id': 14, 'name': '판타지'}]","[93210, 53714, 2440]",[7018],122906
패딩턴 2,2017-11-09,37.488,1848,7.5,"[{'id': 12, 'name': '모험'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[17064, 19923, 39658]",[101666],346648
그녀가 말했다,2022-11-17,43.167,7,8,"[{'id': 18, 'name': '드라마'}]","[35028, 36662, 1276]",[22686],837881
그녀,2013-12-18,39.825,12551,7.9,"[{'id': 10749, 'name': '로맨스'}, {'id': 878, 'name': 'SF'}, {'id': 18, 'name': '드라마'}]","[73421, 1245, 9273]",[5953],152601
금병매2,2009-03-04,44.82,20,5.2,"[{'id': 35, 'name': '코미디'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[237233, 237234, 25254]",[1141803],32516
Thinking XXX,2004-10-27,44.953,83,5.4,"[{'id': 99, 'name': '다큐멘터리'}]","[26223, 42545, 105276]",[143296],24593
배틀 크랙,2020-12-17,43.045,548,4.3,"[{'id': 878, 'name': 'SF'}, {'id': 28, 'name': '액션'}]","[62, 11155, 1750413]",[146836],651571
비키와 그녀의 미스터리,2021-12-15,43.044,431,7.1,"[{'id': 12, 'name': '모험'}, {'id': 10751, 'name': '가족'}, {'id': 18, 'name': '드라마'}]","[54918, 2817795, 54227]",[1366309],754067
명탐정 코난: 할로윈의 신부,2022-04-15,43.039,29,6.1,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 80, 'name': '범죄'}, {'id': 9648, 'name': '미스테리'}]","[68470, 87582, 237076]",[1325228],903939
마녀들의 땅,2022-07-15,43.031,26,5.6,"[{'id': 53, 'name': '스릴러'}, {'id': 27, 'name': '공포'}, {'id': 18, 'name': '드라마'}]","[2506, 1879398, 56890]",[1210557],852485
러브 앤 몬스터스,2020-10-16,43.006,3293,7.4,"[{'id': 35, 'name': '코미디'}, {'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[527393, 1202689, 12132]",[1851294],590223
신밧드:  7대양의 전설,2003-07-02,41.901,1714,6.9,"[{'id': 10751, 'name': '가족'}, {'id': 16, 'name': '애니메이션'}, {'id': 12, 'name': '모험'}, {'id': 35, 'name': '코미디'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[287, 1922, 1160]",[52870],14411
Black Panther 3,,42.988,0,0,[],[],[],1037199
Chained Heat,1983-05-27,42.678,41,5.2,"[{'id': 28, 'name': '액션'}, {'id': 80, 'name': '범죄'}, {'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}]","[37366, 29541, 17580]",[122913],18406
13: 더 뮤지컬,2022-08-12,42.961,24,6.3,"[{'id': 10751, 'name': '가족'}, {'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]","[1805562, 23959, 24203]",[57691],673271
Encanto at the Hollywood Bowl,2022-12-28,42.925,0,0,"[{'id': 10402, 'name': '음악'}]","[968367, 3150233, 1489764]",[1537535],1041513
딥: 잠들면 죽는다,2021-07-16,42.92,79,6.3,"[{'id': 878, 'name': 'SF'}, {'id': 53, 'name': '스릴러'}]","[2424462, 2636836, 3129312]",[31037],842171
걸 온 더 트레인,2016-10-05,60.064,5151,6.4,"[{'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}, {'id': 18, 'name': '드라마'}]","[5081, 933238, 58754]",[55789],346685
극장판 트리니티 세븐: 천공도서관과 진홍의 마왕,2019-03-29,42.884,41,8,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}]","[1254835, 992869, 1353244]",[1243640],570269
배드 럭 뱅잉,2021-04-29,42.871,121,6.4,"[{'id': 35, 'name': '코미디'}]","[1547403, 2080404, 1871780]",[588822],790496
The Phantom of the Open,2022-03-18,42.863,45,6.9,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]","[40900, 39658, 7026]",[104561],717151
캐치 미 이프 유 캔,2002-12-16,43.13,13143,8,"[{'id': 18, 'name': '드라마'}, {'id': 80, 'name': '범죄'}]","[6193, 31, 4690]",[488],640
